City,Latitude,Longitude
Timargara,34.8278,71.8417
Toba Tek Singh,30.9711,72.4825
Turbat,26.0042,63.0606
Uch Sharif,29.2333,71.0667
Umarkot,25.3631,69.7425
Usta Muhammad,28.1783,68.0431
Uthal,25.8,66.6167
Vihari,30.0419,72.3528
Wadala Sandhuan,32.1833,74.4
Wahga,31.6047,74.5731
Washuk,27.7231,64.8122
Wazirabad,32.4353,74.1142
Zafarwal,32.35,74.9
Zhob,31.3417,69.4486
Ziarat,30.381,67.727
